CPU Time;Module;Clockticks;Instructions Retired;CPI Rate;Light Operations;Heavy Operations;Front-End Latency;Front-End Bandwidth MITE;Front-End Bandwidth DSB;(Info) DSB Coverage;(Info) DSB Misses;Bad Speculation;Back-End Bound;Average CPU Frequency;Function (Full);Source File;Start Address
0.000903615;dbgcore.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;[dbgcore.dll];[Unknown];0
0.000903615;dbghelp.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;[dbghelp.dll];[Unknown];0
0.000903615;mygame.exe;1800000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;[mygame.exe];[Unknown];0
0.0108434;ntoskrnl.exe;25200000;30600000;0.823529;0.607143;0;0;0;0;0;0;0;1;2.324e+09;[ntoskrnl.exe];[Unknown];0
0.00180723;opengl32.dll;1800000;0;;0;0;0;0;0;0;0;0;1;9.95999e+08;[opengl32.dll];[Unknown];0
0.000903615;wcifs.sys;3600000;0;;0;0;0;0;0;0;0;0;1;3.984e+09;[wcifs.sys];[Unknown];0
0.00180723;win32k.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;[win32k.sys];[Unknown];0
0;ntoskrnl.exe;0;1800000;0;;;0;0;0;0;0;0;1;0;_C_specific_handler;[Unknown];0x1403d0b90
0.000903615;ucrtbase.dll;5400000;0;;0;0;0;1;0;0;0;0;1;5.976e+09;_stdio_common_vswprintf;[Unknown];0x18000dd60
0.00271085;ucrtbase.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;acosf;[Unknown];0x180031750
0.00451808;ucrtbase.dll;1800000;0;;0;0;0;0;0;0;0;0;0;3.984e+08;atan2f;[Unknown];0x180032720
0.00180723;ntdll.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;bsearch;[Unknown];0x18008f390
0.000903615;ntoskrnl.exe;5400000;1800000;3;0.166667;0;0;0;0;0;0;0;1;5.976e+09;bsearch;[Unknown];0x1403d2b80
0.000903615;win32kfull.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;BuildHwndList;[Unknown];0x1c00d5d00
0.000903615;ntoskrnl.exe;0;0;0;0;0;0;0;0;0;0;0;1;0;CcCopyWriteEx;[Unknown];0x1402bd6f0
0;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;;CcMapData;[Unknown];0x140623ac0
0;ntoskrnl.exe;1800000;0;;0;0;0;0;0;0;0;0;1;;CcSetFileSizesEx;[Unknown];0x1402bb880
0;ntoskrnl.exe;0;1800000;0;;;0;0;0;0;0;0;1;0;CcUnpinData;[Unknown];0x14065bd10
0.000903615;win32kfull.sys;1800000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;CheckupHidLeak;[Unknown];0x1c0136bf0
0;win32kbase.sys;1800000;1800000;1;0.5;0;0;0;0;0;0;0;1;;CHMRefHwndByHandle::~CHMRefHwndByHandle(void);[Unknown];0x1c002e190
0;win32kbase.sys;1800000;0;;0;0;0;0;0;0;0;0;1;;CHMRefHwndByHandle::CHMRefHwndByHandle(struct HWND__ * __ptr64,bool,bool,bool,bool);[Unknown];0x1c00061c0
0.000903615;win32kbase.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;CHMRefHwndByHandle::rpwnd(void);[Unknown];0x1c0084600
0;user32.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;ClientToScreen;[Unknown];0x180012080
0;kernelbase.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;CompareStringW;[Unknown];0x180029ec0
0;combase.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;CoTaskMemFree;[Unknown];0x180063ab0
0;kernelbase.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;CreateFileMappingNumaW;[Unknown];0x180038710
0;kernelbase.dll;1800000;0;;0;0;0;0;0;0;0;0;1;;CreateFileMappingW;[Unknown];0x180038e20
0;crypt32.dll;0;1800000;0;;;0;0;0;0;0;0;1;0;CryptDecodeObjectEx;[Unknown];0x180020e80
0.000903615;gdi32.dll;0;0;0;0;0;0;0;0;0;0;0;1;0;D3DKMTOpenAdapterFromHdc;[Unknown];0x180002710
0.00180723;win32kbase.sys;3600000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;DC::bCompute(void);[Unknown];0x1c003bee0
0;win32kbase.sys;1800000;0;;0;0;0;0;0;0;0;0;1;;DC::hpath(struct HPATH__ * __ptr64);[Unknown];0x1c00bd5d0
0.000903615;win32kbase.sys;5400000;1800000;3;0.166667;0;0;0;0;0;0;0;1;5.976e+09;DC::RestoreAttributes(struct _DC_ATTR * __ptr64);[Unknown];0x1c002d050
0.00361446;win32kbase.sys;3600000;1800000;2;0.25;0;0;0;0;0;0;0;1;9.95999e+08;DC::SaveAttributes(struct _DC_ATTR * __ptr64);[Unknown];0x1c002d5d0
0.000903615;win32kbase.sys;1800000;1800000;1;0.5;0;0;0;0;0;0;0;1;1.992e+09;DC::vUpdate_VisRect(class REGION * __ptr64);[Unknown];0x1c002df30
0.000903615;win32kbase.sys;1800000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;DC::vUpdateScaledRegions(void);[Unknown];0x1c00219a0
0.00813254;win32kbase.sys;9000000;7200000;1.25;0.4;0;1;0;0;0;0;0;1;1.10667e+09;DEC_SHARE_REF_CNT;[Unknown];0x1c002f430
0.00271085;win32kbase.sys;0;1800000;0;;;0;0;0;0;0;0;1;0;DEC_SHARE_REF_CNT_LAZY_DEL_LOGFONT;[Unknown];0x1c002e630
0;win32kbase.sys;1800000;0;;0;0;0;0;0;0;0;0;1;;DEC_SHARE_REF_CNT_LAZY0;[Unknown];0x1c002ec20
0;win32kbase.sys;0;1800000;0;;;;;;0;;;;0;DEVLOCKOBJ::bLock(class XDCOBJ & __ptr64,int);[Unknown];0x1c003b680
